Ano;Cod Mun;Espécie;Produção (Ton)
2024;1100098;Curimata e Curimbata;0
2024;1100098;Dourado;0
2024;1100098;Jatuarana, piabanha e piracanjuba;0,16
2024;1100098;Lambari;0
2024;1100098;Matrinxa;0,34
2024;1100098;Pacu e patinga;1,38
2024;1100098;Piau, piapara, piaucu, piava;0,3
2024;1100098;Pintado, cachara, cachapira, pintachara, surubim;7,98
2024;1100098;Pirapitinga;0
2024;1100098;Pirarucu;3,14
2024;1100098;Tambacu, tambatinga;6,12
2024;1100098;Tambaqui;253,18
2024;1100098;Tilapia;1,6
2024;1100098;Traira e trairao;0
2024;1100098;Truta;0
2024;1100098;Tucunare;0
2024;1100098;Outros peixes;0
2024;1100106;Carpa;0
2024;1100106;Curimata e Curimbata;0,125
2024;1100106;Dourado;0
2024;1100106;Jatuarana, piabanha e piracanjuba;0,28
2024;1100106;Lambari;0
2024;1100106;Matrinxa;0
2024;1100106;Pacu e patinga;0,54
2024;1100106;Piau, piapara, piaucu, piava;0
2024;1100106;Pintado, cachara, cachapira, pintachara, surubim;1,59
2024;1100106;Pirapitinga;0
2024;1100106;Pirarucu;1,05
2024;1100106;Tambacu, tambatinga;3,85
2024;1100106;Tambaqui;45,85
2024;1100106;Tilapia;0,8
2024;1100106;Traira e trairao;0
2024;1100106;Truta;0
2024;1100106;Tucunare;0
2024;1100106;Outros peixes;0
2024;1100114;Carpa;0
2024;1100114;Curimata e Curimbata;0
2024;1100114;Dourado;0
2024;1100114;Jatuarana, piabanha e piracanjuba;0,26
2024;1100114;Lambari;0
2024;1100114;Matrinxa;0,65
2024;1100114;Pacu e patinga;1,58
2024;1100114;Piau, piapara, piaucu, piava;0,415
2024;1100114;Pintado, cachara, cachapira, pintachara, surubim;15,23
2024;1100114;Pirapitinga;0,55
2024;1100114;Pirarucu;13,58
2024;1100114;Tambacu, tambatinga;134,371
2024;1100114;Tambaqui;1343,707
2024;1100114;Tilapia;6,25
2024;1100114;Traira e trairao;0
2024;1100114;Truta;0
2024;1100114;Tucunare;0
2024;1100114;Outros peixes;0
2024;1100122;Carpa;0
2024;1100122;Curimata e Curimbata;0,1
2024;1100122;Dourado;0
2024;1100122;Jatuarana, piabanha e piracanjuba;0,23
2024;1100122;Lambari;0
2024;1100122;Matrinxa;0,68
2024;1100122;Pacu e patinga;2,97
2024;1100122;Piau, piapara, piaucu, piava;0,65
2024;1100122;Pintado, cachara, cachapira, pintachara, surubim;14,203
2024;1100122;Pirapitinga;0,5
2024;1100122;Pirarucu;12,58
2024;1100122;Tambacu, tambatinga;6,58
2024;1100122;Tambaqui;1050,123
2024;1100122;Tilapia;6
2024;1100122;Traira e trairao;0
2024;1100122;Truta;0
2024;1100122;Tucunare;0
2024;1100122;Outros peixes;3
2024;1100130;Carpa;0
2024;1100130;Curimata e Curimbata;0
2024;1100130;Dourado;0
2024;1100130;Jatuarana, piabanha e piracanjuba;0,62
2024;1100130;Lambari;0
2024;1100130;Matrinxa;0
2024;1100130;Pacu e patinga;1,7
2024;1100130;Piau, piapara, piaucu, piava;0,28
2024;1100130;Pintado, cachara, cachapira, pintachara, surubim;5,05
2024;1100130;Pirapitinga;0
2024;1100130;Pirarucu;33,14
2024;1100130;Tambacu, tambatinga;197,544
2024;1100130;Tambaqui;2345,983
2024;1100130;Tilapia;2
2024;1100130;Traira e trairao;0
2024;1100130;Truta;0
2024;1100130;Tucunare;0
2024;1100130;Outros peixes;5,12
2024;1100148;Carpa;0,02
2024;1100148;Curimata e Curimbata;0
2024;1100148;Dourado;0
2024;1100148;Jatuarana, piabanha e piracanjuba;0,31
2024;1100148;Lambari;0
2024;1100148;Matrinxa;0,15
2024;1100148;Pacu e patinga;1,48
2024;1100148;Piau, piapara, piaucu, piava;0,325
2024;1100148;Pintado, cachara, cachapira, pintachara, surubim;10,431
2024;1100148;Pirapitinga;0,1
2024;1100148;Pirarucu;2,58
2024;1100148;Tambacu, tambatinga;14,56
2024;1100148;Tambaqui;265,348
2024;1100148;Tilapia;1,4
2024;1100148;Traira e trairao;0
2024;1100148;Truta;0
2024;1100148;Tucunare;0
2024;1100148;Outros peixes;1,2
2024;1100155;Carpa;0
2024;1100155;Curimata e Curimbata;0
2024;1100155;Dourado;0
2024;1100155;Jatuarana, piabanha e piracanjuba;0,3
2024;1100155;Lambari;0
2024;1100155;Matrinxa;0
2024;1100155;Pacu e patinga;2,38
2024;1100155;Piau, piapara, piaucu, piava;0
2024;1100155;Pintado, cachara, cachapira, pintachara, surubim;35,42
2024;1100155;Pirapitinga;0
2024;1100155;Pirarucu;10,14
2024;1100155;Tambacu, tambatinga;0
2024;1100155;Tambaqui;2655,868
2024;1100155;Tilapia;3,85
2024;1100155;Traira e trairao;0
2024;1100155;Truta;0
2024;1100155;Tucunare;0
2024;1100155;Outros peixes;0
2024;1100189;Carpa;0,05
2024;1100189;Curimata e Curimbata;0
2024;1100189;Dourado;0
2024;1100189;Jatuarana, piabanha e piracanjuba;0,12
2024;1100189;Lambari;0
2024;1100189;Matrinxa;0,4
2024;1100189;Pacu e patinga;0,42
2024;1100189;Piau, piapara, piaucu, piava;0,348
2024;1100189;Pintado, cachara, cachapira, pintachara, surubim;18,56
2024;1100189;Pirapitinga;0
2024;1100189;Pirarucu;6,27
2024;1100189;Tambacu, tambatinga;22,85
2024;1100189;Tambaqui;438,45
2024;1100189;Tilapia;3,28
2024;1100189;Traira e trairao;0
2024;1100189;Truta;0
2024;1100189;Tucunare;0
2024;1100189;Outros peixes;1,8
2024;1100205;Carpa;0,38
2024;1100205;Curimata e Curimbata;2,45
2024;1100205;Dourado;0
2024;1100205;Jatuarana, piabanha e piracanjuba;1,42
2024;1100205;Lambari;0
2024;1100205;Matrinxa;1,589
2024;1100205;Pacu e patinga;15,864
2024;1100205;Piau, piapara, piaucu, piava;2,503
2024;1100205;Pintado, cachara, cachapira, pintachara, surubim;58,756
2024;1100205;Pirapitinga;1,469
2024;1100205;Pirarucu;8,75
2024;1100205;Tambacu, tambatinga;13,85
2024;1100205;Tambaqui;1618,575
2024;1100205;Tilapia;12,28
2024;1100205;Traira e trairao;0
2024;1100205;Truta;0
2024;1100205;Tucunare;0
2024;1100205;Outros peixes;3,5
2024;1100254;Carpa;0
2024;1100254;Curimata e Curimbata;0
2024;1100254;Dourado;0
2024;1100254;Jatuarana, piabanha e piracanjuba;4,12
2024;1100254;Lambari;0
2024;1100254;Matrinxa;0,58
2024;1100254;Pacu e patinga;3,28
2024;1100254;Piau, piapara, piaucu, piava;1,15
2024;1100254;Pintado, cachara, cachapira, pintachara, surubim;16,34
2024;1100254;Pirapitinga;0
2024;1100254;Pirarucu;10,85
2024;1100254;Tambacu, tambatinga;71,872
2024;1100254;Tambaqui;718,716
2024;1100254;Tilapia;6,2
2024;1100254;Traira e trairao;0
2024;1100254;Truta;0
2024;1100254;Tucunare;0
2024;1100254;Outros peixes;2,2
2024;1100262;Carpa;0,05
2024;1100262;Curimata e Curimbata;2,28
2024;1100262;Dourado;0
2024;1100262;Jatuarana, piabanha e piracanjuba;3,25
2024;1100262;Lambari;0
2024;1100262;Matrinxa;0,75
2024;1100262;Pacu e patinga;0,35
2024;1100262;Piau, piapara, piaucu, piava;0,45
2024;1100262;Pintado, cachara, cachapira, pintachara, surubim;46,814
2024;1100262;Pirapitinga;0,6
2024;1100262;Pirarucu;12,39
2024;1100262;Tambacu, tambatinga;230,815
2024;1100262;Tambaqui;2328,15
2024;1100262;Tilapia;2,05
2024;1100262;Traira e trairao;0
2024;1100262;Truta;0
2024;1100262;Tucunare;0
2024;1100262;Outros peixes;3,5
2024;1100288;Carpa;0
2024;1100288;Curimata e Curimbata;0,15
2024;1100288;Dourado;0
2024;1100288;Jatuarana, piabanha e piracanjuba;0,3
2024;1100288;Lambari;0
2024;1100288;Matrinxa;0
2024;1100288;Pacu e patinga;1,12
2024;1100288;Piau, piapara, piaucu, piava;0,9
2024;1100288;Pintado, cachara, cachapira, pintachara, surubim;17,416
2024;1100288;Pirapitinga;0
2024;1100288;Pirarucu;6,78
2024;1100288;Tambacu, tambatinga;10,12
2024;1100288;Tambaqui;766,307
2024;1100288;Tilapia;3,45
2024;1100288;Traira e trairao;0
2024;1100288;Truta;0
2024;1100288;Tucunare;0
2024;1100288;Outros peixes;1,5
2024;1100296;Carpa;0
2024;1100296;Curimata e Curimbata;0
2024;1100296;Dourado;0
2024;1100296;Jatuarana, piabanha e piracanjuba;0,38
2024;1100296;Lambari;0
2024;1100296;Matrinxa;0
2024;1100296;Pacu e patinga;1,78
2024;1100296;Piau, piapara, piaucu, piava;0,465
2024;1100296;Pintado, cachara, cachapira, pintachara, surubim;14,39
2024;1100296;Pirapitinga;0
2024;1100296;Pirarucu;2,85
2024;1100296;Tambacu, tambatinga;0
2024;1100296;Tambaqui;287,771
2024;1100296;Tilapia;2
2024;1100296;Traira e trairao;0
2024;1100296;Truta;0
2024;1100296;Tucunare;0
2024;1100296;Outros peixes;0
2024;1100304;Carpa;0
2024;1100304;Curimata e Curimbata;1,2
2024;1100304;Dourado;0
2024;1100304;Jatuarana, piabanha e piracanjuba;2,85
2024;1100304;Lambari;0
2024;1100304;Matrinxa;7,65
2024;1100304;Pacu e patinga;5,85
